dataset,request_id,skip_layer,step_id,pos,token,token_id,base_accepted_len,skip_accepted_len
translation,sb_translation_184,6,11,4,\n,13,4,6
translation,sb_translation_184,6,11,5,\n,13,4,6
translation,sb_translation_211,6,4,8,\n,13,8,9
summarization,sum_304,2,2,6,a,263,6,7
gsm8k,gsm_50,4,1,5,x,921,5,6
gsm8k,gsm_50,4,12,4,is,338,4,5
gsm8k,gsm_46,4,11,4,her,902,4,7
gsm8k,gsm_46,4,11,5,age,5046,4,7
gsm8k,gsm_46,4,11,6,is,338,4,7
rag,sb_rag_544,6,14,3,0,29900,3,4
rag,sb_rag_531,6,11,5,Raj,15496,5,9
rag,sb_rag_531,6,11,6,ya,3761,5,9
rag,sb_rag_531,6,11,7,Sab,11775,5,9
rag,sb_rag_531,6,11,8,ha,2350,5,9
rag,sb_rag_531,6,13,4,\n,13,4,5
rag,sb_rag_536,6,8,2,University,3014,2,3
rag,sb_rag_489,6,7,5,",",29892,5,9
rag,sb_rag_489,6,7,6,while,1550,5,9
rag,sb_rag_489,6,7,7,Dem,4432,5,9
rag,sb_rag_489,6,7,8,ing,292,5,9
rag,sb_rag_489,6,15,1,The,450,1,2
