Domain,Tol,Floor,Accept Len.,Metric,Skip Layers,Sparsity,Throughput,ΔAccept,ΔMetric,ΔTok/s,Source
translation,0,1.00,4.528,0.2370,"[3, 25, 30]",9.4%,127.3,+1.831,+0.1058,+46.6,train_pool_select
translation,+5%,1.05,4.528,0.2370,"[3, 25, 30]",9.4%,127.3,+1.831,+0.1058,+46.6,train_pool_select
translation,-5%,0.95,4.528,0.2370,"[3, 25, 30]",9.4%,127.3,+1.831,+0.1058,+51.7,published_triple_win
translation,-10%,0.90,4.528,0.2370,"[3, 25, 30]",9.4%,127.3,+1.831,+0.1058,+46.6,train_pool_select
translation,-20%,0.80,4.528,0.2370,"[3, 25, 30]",9.4%,127.3,+1.831,+0.1058,+46.6,train_pool_select
qa,0,1.00,3.726,0.0600,"[6, 8, 19, 27]",12.5%,106.3,+0.801,+0.0178,+23.8,train_pool_select
qa,+5%,1.05,3.726,0.0600,"[6, 8, 19, 27]",12.5%,106.3,+0.801,+0.0178,+23.8,train_pool_select
qa,-5%,0.95,3.970,0.0640,"[6, 8, 19, 21, 27]",15.6%,113.7,+1.045,+0.0218,+33.7,published_triple_win
qa,-10%,0.90,3.726,0.0600,"[6, 8, 19, 27]",12.5%,106.3,+0.801,+0.0178,+23.8,train_pool_select
qa,-20%,0.80,3.726,0.0600,"[6, 8, 19, 27]",12.5%,106.3,+0.801,+0.0178,+23.8,train_pool_select
rag,0,1.00,4.017,0.1038,"[2, 12, 23, 29]",12.5%,101.5,+0.779,+0.0074,+21.3,train_pool_select
rag,+5%,1.05,4.017,0.1038,"[2, 12, 23, 29]",12.5%,101.5,+0.779,+0.0074,+21.3,train_pool_select
rag,-5%,0.95,4.027,0.1091,"[3, 6, 14, 25, 30]",15.6%,97.1,+0.789,+0.0128,+21.1,published_triple_win
rag,-10%,0.90,4.017,0.1038,"[2, 12, 23, 29]",12.5%,101.5,+0.779,+0.0074,+21.3,train_pool_select
rag,-20%,0.80,4.017,0.1038,"[2, 12, 23, 29]",12.5%,101.5,+0.779,+0.0074,+21.3,train_pool_select
mmlu,0,1.00,4.074,0.2969,"[3, 7, 14, 24, 26]",15.6%,96.1,+0.959,+0.0156,+23.4,train_pool_select
mmlu,+5%,1.05,3.662,0.2969,"[6, 7, 14, 17, 23]",15.6%,88.2,+0.547,+0.0156,+15.5,train_pool_select
mmlu,-5%,0.95,3.955,0.3281,"[3, 7, 9, 14, 20]",15.6%,90.8,+0.840,+0.0469,+23.3,published_triple_win
mmlu,-10%,0.90,4.074,0.2969,"[3, 7, 14, 24, 26]",15.6%,96.1,+0.959,+0.0156,+23.4,train_pool_select
mmlu,-20%,0.80,4.074,0.2969,"[3, 7, 14, 24, 26]",15.6%,96.1,+0.959,+0.0156,+23.4,train_pool_select
