Domain,Score Tol,Accept Len.,Metric,Skip Layers,Sparsity,Throughput,Search Evaluations
translation,-5%,4.528,0.2370,"[3, 25, 30]",9.4%,127.3,—
translation,0%,4.308,0.1402,"[3, 11, 14, 15]",12.5%,122.8,349
translation,10%,4.308,0.1402,"[3, 11, 14, 15]",12.5%,122.8,348
translation,20%,4.289,0.1462,"[3, 15, 23, 24]",12.5%,125.5,347
translation,+5%,4.134,0.1207,"[4, 9, 14, 25]",12.5%,120.7,351
qa,-5%,3.970,0.0640,"[6, 8, 19, 21, 27]",15.6%,113.7,—
qa,0%,3.801,0.0600,"[3, 14, 22, 25, 30]",15.6%,107.3,349
qa,10%,3.801,0.0600,"[3, 14, 22, 25, 30]",15.6%,107.3,350
qa,20%,3.781,0.0415,"[3, 11, 30]",9.4%,104.8,352
qa,+5%,3.726,0.0600,"[6, 8, 19, 27]",12.5%,100.1,354
rag,-5%,4.027,0.1091,"[3, 6, 14, 25, 30]",15.6%,97.1,—
rag,0%,4.374,0.0432,"[2, 3, 4, 11, 29]",15.6%,102.4,352
rag,10%,3.990,0.0824,"[4, 5, 11, 12, 29]",15.6%,97.7,351
rag,20%,4.428,0.0826,"[4, 7, 11, 12, 29]",15.6%,106.5,351
rag,+5%,4.374,0.0432,"[2, 3, 4, 11, 29]",15.6%,102.4,351
mmlu,-5%,3.955,0.3281,"[3, 7, 9, 14, 20]",15.6%,90.8,—
mmlu,0%,3.972,0.2969,"[5, 8, 11, 23, 29]",15.6%,92.5,352
mmlu,10%,3.972,0.2969,"[5, 8, 11, 23, 29]",15.6%,92.5,352
mmlu,20%,3.972,0.2969,"[5, 8, 11, 23, 29]",15.6%,92.5,352
mmlu,+5%,3.115,0.2812,[],0.0%,70.5,30
